"job_id","job_title","job_schedule_type","salary_year_avg","company_name","skills"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","sql"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","python"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","r"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","sas"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","matlab"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","pandas"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","tableau"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","looker"
712473,"Data Analyst","Full-time","165000.0","Get It Recruit - Information Technology","sas"
1246069,"Data Analyst","Full-time","165000.0","Plexus Resource Solutions","python"
1246069,"Data Analyst","Full-time","165000.0","Plexus Resource Solutions","mysql"
1246069,"Data Analyst","Full-time","165000.0","Plexus Resource Solutions","aws"
456042,"Data Analyst","Full-time","151500.0","Get It Recruit - Healthcare","sql"
456042,"Data Analyst","Full-time","151500.0","Get It Recruit - Healthcare","python"
456042,"Data Analyst","Full-time","151500.0","Get It Recruit - Healthcare","r"
479485,"Data Analyst","Full-time","145000.0","Level","sql"
479485,"Data Analyst","Full-time","145000.0","Level","python"
479485,"Data Analyst","Full-time","145000.0","Level","r"
479485,"Data Analyst","Full-time","145000.0","Level","golang"
479485,"Data Analyst","Full-time","145000.0","Level","elasticsearch"
479485,"Data Analyst","Full-time","145000.0","Level","aws"
479485,"Data Analyst","Full-time","145000.0","Level","bigquery"
479485,"Data Analyst","Full-time","145000.0","Level","gcp"
479485,"Data Analyst","Full-time","145000.0","Level","pandas"
479485,"Data Analyst","Full-time","145000.0","Level","scikit-learn"
479485,"Data Analyst","Full-time","145000.0","Level","looker"
479485,"Data Analyst","Full-time","145000.0","Level","kubernetes"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","python"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","java"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","r"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","javascript"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","c++"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","tableau"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","power bi"
405581,"Data Analyst","Full-time","145000.0","CyberCoders","qlik"
1090975,"Data Analyst","Full-time","140500.0","Uber","sql"
1090975,"Data Analyst","Full-time","140500.0","Uber","python"
1090975,"Data Analyst","Full-time","140500.0","Uber","r"
1090975,"Data Analyst","Full-time","140500.0","Uber","swift"
1090975,"Data Analyst","Full-time","140500.0","Uber","excel"
1090975,"Data Analyst","Full-time","140500.0","Uber","tableau"
1090975,"Data Analyst","Full-time","140500.0","Uber","looker"
1482852,"Data Analyst","Full-time","138500.0","Overmind","sql"
1482852,"Data Analyst","Full-time","138500.0","Overmind","python"
479965,"Data Analyst","Full-time","135000.0","InvestM Technology LLC","sql"
479965,"Data Analyst","Full-time","135000.0","InvestM Technology LLC","excel"
479965,"Data Analyst","Full-time","135000.0","InvestM Technology LLC","power bi"
1326467,"Data Analyst","Full-time","135000.0","EPIC Brokers","excel"
